EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195075583,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195075569,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195078522,Not Sure,"172,95","529,95",No Product Found,,Not Sure,No Offer ID
5712195078508,Not Sure,"172,95","529,95",No Product Found,,Not Sure,No Offer ID
5712195078485,Not Sure,"221,95","679,95",No Product Found,,Not Sure,No Offer ID
5712195078447,Not Sure,"221,95","679,95",No Product Found,,Not Sure,No Offer ID
5712195078409,Not Sure,"215,35","549,95",No Product Found,,Not Sure,No Offer ID
5712195078362,Not Sure,"399,97","1099,95",No Product Found,,Not Sure,No Offer ID
5712195077907,Cherry Red,"61,51","165,95",Kids-World,138.95,Cherry Red,a0840f414062a950286437217a04f75c
5712195077907,Cherry Red,"61,51","165,95",Coolshop,179,Cherry Red,a38f976b1230e3e64eb2858e970b5118
5712195076986,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195076962,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195076948,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195076924,Not Sure,"215,35","549,95",No Product Found,,Not Sure,No Offer ID
5712195076900,Not Sure,"215,35","549,95",No Product Found,,Not Sure,No Offer ID
5712195078560,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195075521,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195075507,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195078546,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195075200,Not Sure,"61,51","165,95",No Product Found,,Not Sure,No Offer ID
5712195075187,Not Sure,"61,51","165,95",No Product Found,,Not Sure,No Offer ID
5712195075163,Not Sure,"61,51","165,95",No Product Found,,Not Sure,No Offer ID
5712195076863,Not Sure,"215,35","549,95",No Product Found,,Not Sure,No Offer ID
5712195078621,Not Sure,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195078607,Not Sure,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195078584,Vanilla,"24,58","69,95",Nordic Nest,38,Vanilla,0f4cc70a3d9075ab1bc3194147353421
