Handle,Image Position,Type,Image URL
1613-92-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1613-92-124_2.jpg
1613-92-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1613-92-124_1m.jpg
1613-92-124,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1613-92-124_2m.jpg
1613-92-124,5,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1613-92-124_1m 2.jpg
1614-47-088,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1614-47-088_1.jpg
1614-47-088,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1614-47-088_1m.jpg
1614-47-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1614-47-124_1.jpg
1615-47-088,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1615-47-088_1.jpg
1615-47-088,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1615-47-088_1m.jpg
1615-47-088,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1615-47-088_2m.jpg
1615-47-105,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1615-47-105_1.jpg
1615-47-105,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1615-47-105_1m.jpg
1615-47-105,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1615-47-105/1615-47-105_2m.jpg
1616-01-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1616-01-124/1616-01-124_1.jpg
