Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Nature,100% Oak,OYOY LIVING,38,90,41,8700,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,"100% Recycled Polyester, Polystyrene Beads Filling",OYOY LIVING,32,62,62,2300,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"100% Recycled Polyester, Polystyrene Beads Filling",OYOY LIVING,32,62,62,2300,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"100% Recycled Polyester, Polystyrene Beads Filling",OYOY LIVING,32,62,62,2300,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Recycled Polyester,OYOY LIVING,"3,5",124,40,800,India,No,No,225,Yes,No,India,,Yes,No,,No,Yes,No,,,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Recycled Polyester,OYOY LIVING,38,67,24,310,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic,100% Recycled Polyester,OYOY LIVING,38,67,24,310,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Recycled Polyester,OYOY LIVING,10,40,40,170,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Recycled Polyester,OYOY LIVING,10,40,40,170,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Recycled Polyester,OYOY LIVING,10,40,40,170,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,3,"46,5","46,5",410,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,5,5,5,430,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,100% Stoneware,OYOY LIVING,"10,5",9,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY LIVING,80,80,80,2500,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Organic Cotton,OYOY LIVING,50,50,50,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY LIVING,50,50,50,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,100% Silicone,OYOY LIVING,38,38,38,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,100% Silicone,OYOY LIVING,33,46,46,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,"10% Ash, 35% MDF, 35% Cork, 20% Cotton",OYOY LIVING,78,55,5,2700,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Iron,OYOY LIVING,55,24,22,3400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Iron,OYOY LIVING,55,24,22,3400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Iron,OYOY LIVING,55,24,22,3400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Stoneware,OYOY LIVING,"7,2",8,8,180,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Organic Cotton,OYOY LIVING,184,134,134,1200,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,184,134,134,1200,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic,100% Silicone,OYOY LIVING,33,46,46,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,140,70,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Iron,OYOY LIVING,50,42,40,6500,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Iron,OYOY LIVING,50,42,40,6500,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Iron,OYOY LIVING,50,42,40,6500,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Oak,OYOY LIVING,"2,3","34,2",18,400,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Oak,OYOY LIVING,"4,7",30,30,400,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,"4,7",30,30,400,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off,100% Wool,OYOY LIVING,2,146,146,6000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,60,40,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,45,45,45,150,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Organic Cotton,OYOY LIVING,45,45,45,150,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Organic Cotton,OYOY LIVING,45,45,45,150,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY LIVING,45,45,45,150,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,1,140,140,850,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,1,140,140,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Organic Cotton,OYOY LIVING,1,140,140,850,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Organic Cotton,OYOY LIVING,1,140,140,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Organic Cotton,OYOY LIVING,1,140,140,850,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Organic Cotton,OYOY LIVING,1,140,140,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY LIVING,1,140,140,850,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY LIVING,1,140,140,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Oak,OYOY LIVING,"2,5",22,20,180,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off,100% Wool,OYOY LIVING,2,73,73,3000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Wool,OYOY LIVING,2,146,146,6000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,30,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,30,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,30,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Glass,OYOY LIVING,30,"25,5","25,5",3680,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,100% Organic Cotton,OYOY LIVING,43,48,48,90,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Silicone,OYOY LIVING,1,39,39,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Ash,OYOY LIVING,"32,5",13,13,220,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,"2,5",22,20,180,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Glass,OYOY LIVING,30,"25,5","25,5",3680,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe,100% Glass,OYOY LIVING,20,"12,5","12,5",1200,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Wool,OYOY LIVING,2,73,73,3000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,100% Stoneware,OYOY LIVING,"7,2",8,8,180,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,30,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic,100% Cotton,OYOY LIVING,35,50,50,620,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY MINI,100,70,70,310,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY LIVING,75,65,65,350,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,100% Organic Cotton,OYOY LIVING,97,103,103,750,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,80% Wool - 20% Cotton,OYOY LIVING,2,120,120,3360,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,"17,5",7,7,240,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Stoneware,OYOY LIVING,"2,5",17,17,250,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Stoneware,OYOY LIVING,"2,5",17,17,250,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Stoneware,OYOY LIVING,"6,5","6,5","6,5",200,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midnight,100% Stoneware,OYOY LIVING,"6,5","6,5","6,5",200,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,"6,6","11,2","5,5",168,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Stoneware,OYOY LIVING,"10,5",9,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral,100% Stoneware,OYOY LIVING,"10,5",9,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,100% Oak,OYOY LIVING,43,110,35,10000,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Coir,OYOY LIVING,55,75,"1,5",2400,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY MINI,140,100,100,380,Portugal,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,220,140,140,550,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,200,14,140,450,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,80% Wool - 20% Cotton,OYOY LIVING,103,60,60,1000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,30,60,60,500,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,11,"5,7","5,7",109,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY MINI,85,50,50,350,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Stoneware,OYOY LIVING,10,"12,6","12,6",400,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,10,"12,6","12,6",400,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Stoneware,OYOY LIVING,10,"12,6","12,6",400,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Wool,OYOY LIVING,200,200,146,2000,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Wool,OYOY LIVING,250,250,75,1200,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY MINI,100,70,70,310,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY MINI,140,100,100,380,Portugal,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY LIVING,15,220,140,550,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Organic Cotton,OYOY LIVING,30,60,60,500,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,140,70,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,"100% Metal, Powder Coated",OYOY LIVING,50,35,35,1700,China,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,40W,2.5m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,260,140,140,850,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,200,140,140,700,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,260,140,140,850,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,"30% Mirror Glass, 68% MDF w. Ash Veneer, 2% Accessories",OYOY LIVING,10,50,8,7000,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,"30% Mirror Glass, 68% MDF w. Ash Veneer, 2% Accessories",OYOY LIVING,100,50,8,7000,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,10,"10,6","2,6",1020,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY LIVING,200,140,140,450,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY MINI,100,70,70,310,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY MINI,140,100,100,380,Portugal,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,140,70,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,140,70,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,140,70,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,200,140,140,700,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,45,45,45,110,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,45,45,45,110,India,,,,,,,,,,,,,,60 degrees wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,7,"4,5","2,6",260,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,2,"3,9",2,800,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY MINI,100,70,70,310,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY MINI,140,100,100,380,Portugal,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY LIVING,220,140,140,550,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,100% Organic Cotton,OYOY LIVING,200,140,140,1000,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,140,70,70,525,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,220,140,140,550,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,200,140,140,450,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,16,168,80,35500,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,16,228,100,54000,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Bamboo,OYOY LIVING,50,"31,5","31,5",500,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,150,100,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,150,100,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,"60% Wood Fiber, 40 % Melamine",OYOY LIVING,2,30,30,260,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Silicone,OYOY LIVING,38,38,38,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY LIVING,184,134,134,1300,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,14,"30,5","8,5",620,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Stoneware,OYOY LIVING,"7,3",12,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,150,100,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,92,84,84,230,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,100,50,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,100% Stoneware,OYOY LIVING,"7,3",12,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,"7,3",12,9,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,"8,5",20,20,700,China,,,,,,,1350 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,98,96,96,240,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Organic Cotton,OYOY LIVING,98,96,96,240,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,100% Organic Cotton,OYOY LIVING,60,40,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Organic Cotton,OYOY LIVING,60,40,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,OYOY LIVING,60,40,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"100% Metal, Powder Coated",OYOY LIVING,18,30,30,1450,China,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,60W,3m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Sienna,100% Stoneware,OYOY LIVING,"10,5","10,5","10,5",500,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY LIVING,40,60,60,760,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,46,31,31,3300,Bulgaria,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,100% Stoneware,OYOY LIVING,"8,5",20,20,700,China,,,,,,,1350 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Stoneware,OYOY LIVING,"8,5",20,20,700,China,,,,,,,1350 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Organic Cotton,OYOY LIVING,98,96,96,240,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Organic Cotton,OYOY LIVING,100,67,67,170,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,"100% Metal, Powder Coated",OYOY LIVING,18,30,30,1450,China,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,60W,3m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Optic,"100% Metal, Powder Coated",OYOY LIVING,18,30,30,1450,China,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,60W,3m,Na,Na,Na,,,,,,,,,,,,,,,,,,
White,"100% Metal, Powder Coated",OYOY LIVING,19,65,65,4300,China,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,60W,3m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,65,37,37,3700,Bulgaria,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthracite,100% Stoneware,OYOY LIVING,23,22,22,2800,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,80% Wool - 20% Cotton,OYOY LIVING,2,140,140,3600,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
