Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Clay,100% Silicone,OYOY MINI,"0,2",34,45,380,China,,,,,,,,,,,No,,,"No wash,Spot clean and wipe off with moist cloth",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Polyester,OYOY MINI,135,100,100,1150,China,No,No,,No,No,China,,No,No,2,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry red,100% Silicone,OYOY MINI,"13,5","8,5","8,5",130,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,100% Silicone,OYOY MINI,"13,5","8,5","8,5",130,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
PaleMint,100% Silicone,OYOY MINI,"13,5","8,5","8,5",130,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Silicone,OYOY MINI,"13,5","8,5","8,5",130,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% PVC,OYOY MINI,26,120,120,1045,China,N,N,,N,N,,,N,N,3+,N,Y,N,Only to be used in water in which the child is within its depth and under adult supervision. Never leave your child unattended. Danger of drowning,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,100% Cotton,OYOY MINI,1,55,24,100,India,Yes,No,,No,No,India,,No,No,,No,No,No,Mild Machine Wash 30,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,100% Cotton,OYOY MINI,1,44,21,80,India,Yes,No,,No,No,India,,No,No,,No,No,No,Mild Machine Wash 30,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown/Melange,"Cotton, Nylon",OYOY MINI,2,53,30,370,India,Yes,No,,No,No,India,,Yes,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
